lat,lon,count
40.778,-73.975,162
40.547,-74.403,1
40.748,-74.048,1
40.778,-73.976,72
40.748,-74.049,2
40.778,-73.977,74
40.727,-73.786,2
40.789,-73.966,26
40.778,-73.978,94
40.789,-73.967,81
40.789,-73.968,4
40.708,-73.961,7
40.778,-73.979,65
40.727,-73.789,1
40.708,-73.962,4
40.789,-73.969,38
40.708,-73.963,5
40.708,-73.964,1
40.708,-73.965,1
40.708,-73.966,3
40.739,-73.815,3
40.708,-73.967,25
40.739,-73.816,1
40.708,-73.968,40
40.708,-73.969,2
40.739,-73.818,4
40.739,-73.819,18
40.683,-73.791,1
40.663,-74.252,2
40.653,-73.98,1
40.726,-74.07,4
40.726,-74.071,1
40.683,-73.797,1
40.694,-74.103,3
40.683,-73.798,1
40.601,-74.076,1
40.792,-73.843,2
40.737,-74.061,2
40.737,-74.062,1
40.642,-73.995,1
40.726,-74.074,2
40.748,-74.052,1
40.778,-73.98,80
40.737,-74.063,2
40.613,-74.1,1
40.778,-73.981,55
40.789,-73.97,28
40.922,-73.871,5
40.748,-74.054,2
40.89,-73.903,4
40.789,-73.971,43
40.778,-73.982,67
40.758,-73.64,1
40.737,-74.066,1
40.792,-73.848,1
40.726,-74.077,1
40.748,-74.055,1
40.727,-73.792,1
40.789,-73.972,3
40.778,-73.983,91
40.922,-73.872,4
40.642,-73.999,2
40.748,-74.056,1
40.711,-73.842,1
40.89,-73.905,10
40.789,-73.973,13
40.778,-73.984,29
40.664,-73.977,14
40.922,-73.874,1
40.738,-73.783,1
40.789,-73.974,42
40.778,-73.985,98
40.89,-73.906,43
40.805,-73.991,1
40.664,-73.978,9
40.737,-74.069,2
40.664,-73.979,11
40.778,-73.986,48
40.789,-73.975,68
40.89,-73.907,1
40.711,-73.845,1
40.836,-73.841,1
40.789,-73.976,129
40.778,-73.987,4
40.825,-73.853,1
40.778,-73.988,10
40.89,-73.909,1
40.789,-73.977,49
40.711,-73.847,1
40.778,-73.989,143
40.789,-73.978,104
40.805,-73.995,9
40.769,-74.437,1
40.711,-73.848,2
40.805,-73.996,1
40.789,-73.979,52
40.738,-73.789,1
40.847,-73.835,1
40.825,-73.858,1
40.934,-73.903,1
40.739,-73.827,1
40.737,-74.07,2
40.664,-73.98,18
40.664,-73.981,22
